date,code,name,std_sell,std_sell_wc,std_buy,std_buy_wc,std_ratio,total_sell,total_buy
2026-07-10,6383,ダイフク,27000,2900,325100,34800,12.04,53900,501300
2026-07-10,6501,日立製作所,119300,-7700,4385800,-636600,36.76,266000,6986700
2026-07-10,6503,三菱電機,79000,23500,1522700,-68100,19.27,160800,3026300
2026-07-10,6504,富士電機,30300,-300,244800,-7600,8.08,48300,432200
2026-07-10,6753,シャープ,207800,-21900,1983300,-234200,9.54,2583600,4377600
2026-07-10,6779,日本電波工業,0,0,715000,-95000,,29300,1114600
2026-07-10,6845,アズビル,107600,-7000,64700,-3300,0.6,280500,95300
2026-07-10,6890,フェローテック,21800,8900,456800,27200,20.95,25300,1643900
2026-07-10,6914,オプテックスグループ,20000,-900,57700,24700,2.88,20400,102400
2026-07-10,6954,ファナック,201700,-400,2590400,131400,12.84,228800,3890400
2026-07-10,6963,ローム,133000,-48300,766400,66900,5.76,225800,1181400
2026-07-10,7148,ＦＰＧ,87300,33300,730900,-13000,8.37,164100,1730500
2026-07-10,7269,スズキ,77300,-110400,1039200,26000,13.44,326700,3072300
2026-07-10,7270,ＳＵＢＡＲＵ,30600,-10200,1087100,-43800,35.53,93300,2111900
2026-07-10,7272,ヤマハ発動機,106400,19100,813600,-9100,7.65,131900,1631200
2026-07-10,7421,カッパ・クリエイト,198700,-15100,39900,-3100,0.2,512400,63600
2026-07-10,7433,伯東,5500,2300,14600,3000,2.65,11000,56000
2026-07-10,7564,ワークマン,7700,-300,400600,74700,52.03,53600,527000
2026-07-10,7581,サイゼリヤ,23000,100,251900,-54600,10.95,31600,470600
2026-07-10,7630,壱番屋,299600,-24500,90300,-4100,0.3,435700,156600
2026-07-10,7733,オリンパス,83900,-4100,357600,-25600,4.26,161800,846400
2026-07-10,7762,シチズン時計,54200,17700,106500,26500,1.96,102700,200100
2026-07-10,7936,アシックス,208400,-7400,515700,-25100,2.47,515900,684500
2026-07-10,8001,伊藤忠商事,381200,-10700,3801200,-43300,9.97,576300,6767500
2026-07-10,8002,丸紅,148300,-12100,1732300,187300,11.68,215200,2874900
2026-07-10,8031,三井物産,82800,-11900,3348400,367600,40.44,136000,5247400
2026-07-10,8058,三菱商事,740300,-57400,4467200,541100,6.03,847700,6980800
2026-07-10,8088,岩谷産業,18800,-500,490300,-27900,26.08,25800,2359200
2026-07-10,8136,サンリオ,2015700,-78200,14275800,-1548100,7.08,2102100,27854900
2026-07-10,8218,コメリ,1300,1100,10500,2300,8.08,5300,16000
2026-07-10,8227,しまむら,5200,-1000,106900,7400,20.56,13300,164000
2026-07-10,8233,高島屋,153700,-20800,626000,45400,4.07,201900,837300
2026-07-10,8411,みずほフィナンシャルグループ,517900,121800,2241000,-464700,4.33,666700,5527000
2026-07-10,8601,大和証券グループ本社,242800,48700,455800,-41100,1.88,386300,2033900
2026-07-10,8795,Ｔ＆Ｄホールディングス,66400,7200,73200,600,1.1,128600,110500
